Uid,AppointmentFromDateTimeUTC,AppointmentToDateTimeUTC,LocationOpenDateTimeUTC,CompanyName,Address1,Address2,Postal/Zip,City,ProvinceState,Latitude,Longitude,TripNumber,PowerUnit
BFCF8723-AEF8-45FE-B67E-B1C85D5A8DB6,00:00.0,00:00.0,NULL,TOYS R US #3509 WINDSOR,3039 HOWARD AVE,NULL,N8X3T9,WINDSOR,ON,42.2747662,-83.0080238,243960,329
0138A2A8-E031-4334-8DAE-5D920793C3B4,00:00.0,00:00.0,NULL,NIVEL INC,4850 RUE BOURG ST,NULL,H4T1J2,ST-LAURENT,QC,45.4730574,-73.7004549,243911,5015
E39D3AF2-592C-44CE-8B3C-F87556A76D6F,30:00.0,00:00.0,NULL,SEARS SVC BULK ST-LAURENT 5056,1655 B RUE BEAULAC DOCK 4,NULL,H4R1Z1,ST-LAURENT,QC,0,0,243911,5015
60C3FA55-874A-4D40-B4FB-045B350D0194,00:00.0,30:00.0,NULL,CARRIER ENT ST-LAURENT,655 RUE GOUGEON,NULL,H4T2B4,ST-LAURENT,QC,0,0,243911,5015
1CD8E4BB-A897-4959-906F-A754732D79C4,00:00.0,00:00.0,NULL,EMCO #227,3455 RUE GRIFFIN,NULL,H4T1W5,ST-LAURENT,QC,45.4884967,-73.6947599,243911,5015
ED977CEF-1BD6-43B6-8450-4B921B27B5F6,30:00.0,00:00.0,NULL,JOYLYPSO ST-LAURENT,4850 RUE BOURG ST,NULL,H4T1J2,ST-LAURENT,QC,45.4730574,-73.7004549,243911,5015
4F5646B4-1FDD-4C71-A8E2-845F1E99396D,NULL,NULL,NULL,GUILLEVIN INTL ST-LAURENT,3458 RUE GRIFFITH,NULL,H4T1A5,ST-LAURENT,QC,45.4877232,-73.6945183,243911,5015
41DE44CA-8998-479D-A385-D4A3BC24A723,NULL,NULL,NULL,GESSIE MYRIAM MICHEL,9001 BOUL DE L'ACADIE STE 700,NULL,H4N3H5,MONTREAL,QC,45.5328605,-73.6539385,243915,5061
45593DB0-FE84-4827-838A-026FB4FB4070,NULL,NULL,NULL,CROWN-MAKINS,300 SAUVE ST WEST,NULL,H3L1Z4,MONTREAL,QC,45.542283,-73.6628644,243915,5061
71C7ADD2-92B1-4416-B9A4-84271CA27CFA,NULL,NULL,NULL,CLAUDEL LINGERIE MONTREAL,333 RUE CHABANEL O,NULL,H2N2E7,MONTREAL,QC,45.5398901,-73.6548837,243915,5061
